hotspot_cluster,city,state,hotspot_level,hotspot_score,priority,recommendation,recommendation_reason
10,Chandigarh,Punjab,Low Risk Hotspot,19.04,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
34,Chandigarh,Punjab,Low Risk Hotspot,16.74,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
11,Chandigarh,Punjab,Low Risk Hotspot,15.53,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
33,Chandigarh,Punjab,Low Risk Hotspot,12.54,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
30,Chandigarh,Punjab,Low Risk Hotspot,11.98,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
20,Chandigarh,Punjab,Low Risk Hotspot,11.57,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
28,Chandigarh,Punjab,Low Risk Hotspot,10.98,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
29,Chandigarh,Punjab,Low Risk Hotspot,9.01,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
24,Chandigarh,Punjab,Low Risk Hotspot,8.42,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
25,Chandigarh,Punjab,Low Risk Hotspot,8.14,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
17,Chandigarh,Punjab,Low Risk Hotspot,7.43,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
13,Chandigarh,Punjab,Low Risk Hotspot,6.69,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
35,Chandigarh,Punjab,Low Risk Hotspot,5.43,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
36,Chandigarh,Punjab,Low Risk Hotspot,3.71,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
14,Chandigarh,Punjab,Low Risk Hotspot,0.0,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
8,Chandigarh,Punjab,Critical Hotspot,92.71,High,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
9,Chandigarh,Punjab,High Risk Hotspot,66.43,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
3,Chandigarh,Punjab,High Risk Hotspot,64.44,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
5,Chandigarh,Punjab,High Risk Hotspot,60.44,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
0,Chandigarh,Punjab,High Risk Hotspot,57.33,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
6,Chandigarh,Punjab,High Risk Hotspot,54.06,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
7,Chandigarh,Punjab,High Risk Hotspot,53.62,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
1,Chandigarh,Punjab,Moderate Hotspot,39.93,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
2,Chandigarh,Punjab,Moderate Hotspot,36.26,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
22,Chandigarh,Punjab,Moderate Hotspot,35.65,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
26,Chandigarh,Punjab,Moderate Hotspot,30.5,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
32,Chandigarh,Punjab,Moderate Hotspot,30.24,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
37,Chandigarh,Punjab,Moderate Hotspot,29.28,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
21,Chandigarh,Punjab,Moderate Hotspot,28.94,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
15,Chandigarh,Punjab,Moderate Hotspot,28.81,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
12,Chandigarh,Punjab,Moderate Hotspot,27.16,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
31,Chandigarh,Punjab,Moderate Hotspot,25.25,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
27,Chandigarh,Punjab,Low Risk Hotspot,24.86,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
16,Chandigarh,Punjab,Low Risk Hotspot,23.1,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
23,Chandigarh,Punjab,Low Risk Hotspot,22.97,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
4,Chandigarh,Punjab,Low Risk Hotspot,22.29,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
18,Chandigarh,Punjab,Low Risk Hotspot,22.21,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
19,Pune,Maharashtra,Low Risk Hotspot,20.36,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
10,Chandigarh,Punjab,Low Risk Hotspot,19.04,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
34,Chandigarh,Punjab,Low Risk Hotspot,16.74,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
11,Chandigarh,Punjab,Low Risk Hotspot,15.53,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
33,Chandigarh,Punjab,Low Risk Hotspot,12.54,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
30,Chandigarh,Punjab,Low Risk Hotspot,11.98,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
20,Chandigarh,Punjab,Low Risk Hotspot,11.57,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
28,Chandigarh,Punjab,Low Risk Hotspot,10.98,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
29,Chandigarh,Punjab,Low Risk Hotspot,9.01,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
24,Chandigarh,Punjab,Low Risk Hotspot,8.42,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
25,Chandigarh,Punjab,Low Risk Hotspot,8.14,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
17,Chandigarh,Punjab,Low Risk Hotspot,7.43,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
13,Chandigarh,Punjab,Low Risk Hotspot,6.69,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
35,Chandigarh,Punjab,Low Risk Hotspot,5.43,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
36,Chandigarh,Punjab,Low Risk Hotspot,3.71,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
14,Chandigarh,Punjab,Low Risk Hotspot,0.0,Medium,"Review signal timing, intersection design, and enforcement.",Records with traffic signals represent 49.98% of accidents; threshold: 49.98%.
8,Chandigarh,Punjab,Critical Hotspot,92.71,High,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
9,Chandigarh,Punjab,High Risk Hotspot,66.43,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
3,Chandigarh,Punjab,High Risk Hotspot,64.44,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
5,Chandigarh,Punjab,High Risk Hotspot,60.44,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
0,Chandigarh,Punjab,High Risk Hotspot,57.33,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
6,Chandigarh,Punjab,High Risk Hotspot,54.06,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
7,Chandigarh,Punjab,High Risk Hotspot,53.62,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
1,Chandigarh,Punjab,Moderate Hotspot,39.93,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
2,Chandigarh,Punjab,Moderate Hotspot,36.26,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
22,Chandigarh,Punjab,Moderate Hotspot,35.65,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
26,Chandigarh,Punjab,Moderate Hotspot,30.5,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
32,Chandigarh,Punjab,Moderate Hotspot,30.24,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
37,Chandigarh,Punjab,Moderate Hotspot,29.28,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
21,Chandigarh,Punjab,Moderate Hotspot,28.94,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
15,Chandigarh,Punjab,Moderate Hotspot,28.81,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
12,Chandigarh,Punjab,Moderate Hotspot,27.16,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
31,Chandigarh,Punjab,Moderate Hotspot,25.25,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
27,Chandigarh,Punjab,Low Risk Hotspot,24.86,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
16,Chandigarh,Punjab,Low Risk Hotspot,23.1,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
23,Chandigarh,Punjab,Low Risk Hotspot,22.97,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
4,Chandigarh,Punjab,Low Risk Hotspot,22.29,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
18,Chandigarh,Punjab,Low Risk Hotspot,22.21,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
19,Pune,Maharashtra,Low Risk Hotspot,20.36,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
10,Chandigarh,Punjab,Low Risk Hotspot,19.04,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
34,Chandigarh,Punjab,Low Risk Hotspot,16.74,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
11,Chandigarh,Punjab,Low Risk Hotspot,15.53,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
33,Chandigarh,Punjab,Low Risk Hotspot,12.54,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
30,Chandigarh,Punjab,Low Risk Hotspot,11.98,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
20,Chandigarh,Punjab,Low Risk Hotspot,11.57,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
28,Chandigarh,Punjab,Low Risk Hotspot,10.98,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
29,Chandigarh,Punjab,Low Risk Hotspot,9.01,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
24,Chandigarh,Punjab,Low Risk Hotspot,8.42,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
25,Chandigarh,Punjab,Low Risk Hotspot,8.14,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
17,Chandigarh,Punjab,Low Risk Hotspot,7.43,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
13,Chandigarh,Punjab,Low Risk Hotspot,6.69,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
35,Chandigarh,Punjab,Low Risk Hotspot,5.43,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
36,Chandigarh,Punjab,Low Risk Hotspot,3.71,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
14,Chandigarh,Punjab,Low Risk Hotspot,0.0,Medium,Target enforcement and education toward distraction incidents.,The most common recorded cause is distraction at 20.13% of accidents; threshold: 20.13%.
